Time,PositionX,PositionY,PositionZ,OrientationX,OrientationY,OrientationZ,OrientationW
62.10776,-1.744,1.2666,7.164,0,0,0,1
62.10776,0.03446174,1.121047,6.536006,0.2329031,-0.235974,0.05374097,0.9419047
62.12776,0.0369643,1.121252,6.537941,0.2334207,-0.2298151,0.05017815,0.9434946
62.13683,0.03718603,1.121248,6.538316,0.233528,-0.2292929,0.05009584,0.9435994
62.14766,0.03713357,1.121207,6.538286,0.2335325,-0.2293987,0.0501863,0.9435678
62.15847,0.03719223,1.121178,6.538437,0.2335351,-0.2293248,0.0502169,0.9435835
62.16941,0.03732193,1.121245,6.538493,0.2335906,-0.2292817,0.05015063,0.9435838
62.18072,0.03737867,1.121231,6.538655,0.2337361,-0.2291486,0.05012416,0.9435815
62.19161,0.0374285,1.121194,6.538813,0.2337973,-0.2290246,0.04984659,0.9436111
62.20267,0.03746367,1.121171,6.538986,0.2339646,-0.228759,0.04962033,0.943646
62.21373,0.03753483,1.121147,6.539146,0.2341187,-0.2284155,0.04923867,0.9437109
62.22499,0.037588,1.121121,6.539295,0.2342331,-0.228036,0.04883309,0.9437954
62.23606,0.03762937,1.121092,6.539437,0.2344579,-0.2275965,0.0484348,0.9438662
62.24725,0.03770149,1.12103,6.539591,0.2345239,-0.2273285,0.04791136,0.9439411
62.25828,0.03775966,1.121006,6.53972,0.2347725,-0.2270158,0.04754716,0.943973
62.26952,0.03780949,1.121005,6.539826,0.2348299,-0.2266039,0.04704487,0.9440829
62.28048,0.03784454,1.120924,6.539964,0.2349375,-0.2261781,0.04676266,0.9441722
62.29144,0.03783214,1.120932,6.540091,0.2351054,-0.2257169,0.04649692,0.9442539
62.30259,0.0379349,1.120896,6.540213,0.2350429,-0.2252593,0.04621809,0.9443924
62.31393,0.0380038,1.120976,6.54033,0.2351128,-0.2247076,0.04599757,0.9445172
62.32505,0.03813827,1.120977,6.540459,0.2350949,-0.2242824,0.04582738,0.944631
62.33644,0.03824294,1.120999,6.540586,0.2350773,-0.2239402,0.04568081,0.9447237
62.34718,0.03833759,1.121066,6.540663,0.235069,-0.2235222,0.0456525,0.9448261
62.35813,0.03842783,1.121098,6.540758,0.2350253,-0.223189,0.04562049,0.9449173
62.36937,0.03853071,1.121098,6.540854,0.2348176,-0.2228461,0.04555141,0.9450532
62.38053,0.03865135,1.1212,6.540955,0.2347768,-0.2224674,0.04548251,0.9451558
62.39138,0.03879464,1.121215,6.541068,0.23476,-0.2220524,0.04543526,0.9452598
62.40284,0.03892696,1.121224,6.541169,0.2345813,-0.2216549,0.04545316,0.9453966
62.41365,0.03902602,1.121271,6.541226,0.2347079,-0.2213002,0.04547574,0.9454472
62.42512,0.03906631,1.121292,6.541286,0.2347881,-0.2208212,0.04542087,0.9455419
62.43594,0.03918564,1.121208,6.541308,0.2349135,-0.2206076,0.0453914,0.9455621
62.44707,0.03929961,1.12119,6.541315,0.2351548,-0.220215,0.04552298,0.9455873
62.45843,0.0394088,1.121124,6.541319,0.2352613,-0.2199074,0.04557846,0.9456297
62.4702,0.03950071,1.121023,6.541313,0.2353949,-0.2198234,0.04563472,0.9456132
62.48018,0.03959942,1.120963,6.541327,0.2355581,-0.2196619,0.04570928,0.9456066
62.49142,0.03968918,1.120902,6.541327,0.2357843,-0.2196296,0.04566483,0.9455599
62.50248,0.03976989,1.120845,6.54133,0.2361186,-0.2196782,0.04569124,0.9454638
62.51376,0.03983784,1.12085,6.541319,0.2362462,-0.2196939,0.04548999,0.945438
62.52463,0.03988111,1.120842,6.541288,0.2363078,-0.2196332,0.04531429,0.9454452
62.53597,0.03993618,1.120866,6.541314,0.2363058,-0.2196659,0.04509071,0.9454488
62.54737,0.04001176,1.120887,6.541361,0.2362639,-0.2197019,0.04491349,0.9454593
62.55836,0.04002988,1.120886,6.541348,0.2361995,-0.2196973,0.04464899,0.945489
62.56978,0.04012823,1.120908,6.541388,0.2361975,-0.2196933,0.04442049,0.9455012
62.58104,0.04021919,1.120932,6.541384,0.2361826,-0.2195917,0.04413864,0.9455417
62.5929,0.04031837,1.120994,6.541413,0.2362682,-0.2193032,0.04385443,0.9456005
62.60386,0.04044282,1.121016,6.541409,0.2361774,-0.2188144,0.0435213,0.9457518
62.61528,0.04058039,1.12102,6.541377,0.2363415,-0.2183041,0.04328383,0.9458396
62.62671,0.04077351,1.121025,6.541373,0.2362905,-0.2176078,0.04311006,0.9460208
62.63811,0.04093325,1.121089,6.541427,0.2362588,-0.2167587,0.04295968,0.9462304
62.65037,0.04116297,1.121169,6.541499,0.236245,-0.2157777,0.04279504,0.9464655
62.66097,0.04139507,1.12121,6.541572,0.2362525,-0.2147602,0.04266094,0.946701
62.67237,0.04166424,1.121238,6.541638,0.2361972,-0.2135025,0.0425687,0.9470035
62.68409,0.04195845,1.121312,6.541706,0.2362129,-0.2121686,0.04258048,0.9472988
62.69518,0.04230726,1.121344,6.541788,0.2361473,-0.2107368,0.04273429,0.9476277
62.70647,0.04258311,1.121422,6.541914,0.2362055,-0.2090311,0.04288973,0.9479839
62.7182,0.04299533,1.121452,6.542012,0.2362043,-0.2071882,0.04311018,0.9483787
62.72951,0.04350698,1.121477,6.542156,0.2362477,-0.205092,0.04333944,0.948813
62.7411,0.04408252,1.121553,6.542314,0.2360852,-0.2028054,0.04353978,0.9493356
62.75256,0.04466546,1.121675,6.542521,0.2357951,-0.2001415,0.04398657,0.9499522
62.76345,0.04527342,1.121877,6.54279,0.2353306,-0.1975259,0.04454175,0.9505888
62.77432,0.04600859,1.122097,6.543044,0.2345872,-0.1946328,0.04546665,0.9513253
62.78514,0.04693711,1.122418,6.543362,0.2336397,-0.1910218,0.04694822,0.9522179
62.79644,0.04798114,1.122701,6.543697,0.2325839,-0.1867315,0.04871388,0.9532382
62.80725,0.04912817,1.122977,6.54404,0.2317678,-0.18209,0.05067758,0.954232
62.8186,0.05043638,1.123243,6.544414,0.2311088,-0.17637,0.05312921,0.9553322
62.82987,0.05179882,1.123429,6.544749,0.2307211,-0.17041,0.05552747,0.9563707
62.84087,0.05326641,1.123578,6.545058,0.2307014,-0.1639009,0.05812205,0.9573585
62.85236,0.05483651,1.123626,6.545253,0.2310853,-0.1571925,0.06046822,0.9582452
62.86302,0.05635619,1.123571,6.545477,0.2317535,-0.1505307,0.06283831,0.9590006
62.87466,0.05805206,1.12347,6.545696,0.2330161,-0.1436862,0.06489781,0.9596072
62.88538,0.05971169,1.123251,6.545815,0.2347586,-0.1369545,0.06685036,0.9600328
62.89651,0.06136131,1.123015,6.545893,0.2369785,-0.1301018,0.06867756,0.9603115
62.90776,0.06308663,1.122478,6.545855,0.2400307,-0.1230096,0.07046926,0.9603583
62.91869,0.06476343,1.121895,6.545846,0.2433734,-0.1161347,0.0721937,0.9602449
62.93019,0.06646502,1.121168,6.545733,0.2476486,-0.109031,0.073814,0.9598614
62.94065,0.0681814,1.12027,6.545667,0.2521159,-0.1019435,0.07532302,0.95936
62.95201,0.06986928,1.11931,6.545481,0.2574658,-0.09471529,0.07655009,0.9585825
62.96334,0.07152092,1.11819,6.545167,0.2630943,-0.08762978,0.07750754,0.9576508
62.97417,0.07311571,1.116992,6.544827,0.2691236,-0.0805,0.07827438,0.9565383
62.9853,0.07475102,1.115704,6.544419,0.2755527,-0.07342573,0.0789681,0.955219
62.99622,0.07635343,1.114399,6.544027,0.2816417,-0.06647426,0.07968105,0.9538921
63.0074,0.07786715,1.113185,6.543647,0.287323,-0.05957375,0.08058804,0.9525765
63.01886,0.07935441,1.112144,6.543373,0.2921314,-0.05290292,0.08144194,0.9514346
63.02952,0.08062649,1.111387,6.543217,0.295565,-0.04657289,0.08236383,0.9506254
63.04063,0.08186567,1.110814,6.543164,0.2981766,-0.04072627,0.0833611,0.9499911
63.05197,0.08284056,1.110544,6.543349,0.2996423,-0.03560478,0.08415819,0.9496654
63.06325,0.08392465,1.110175,6.543364,0.3006617,-0.03113533,0.0848611,0.9494376
63.07446,0.08484232,1.110079,6.543461,0.3011132,-0.02735372,0.08527783,0.9493737
63.08502,0.0856024,1.110123,6.543545,0.3009978,-0.02420404,0.08558591,0.9494681
63.09613,0.08635867,1.110204,6.543633,0.300898,-0.02112162,0.08561483,0.9495706
63.10731,0.08700871,1.110361,6.543709,0.3005862,-0.0184595,0.08548319,0.9497367
63.1185,0.08757234,1.110634,6.54373,0.2999173,-0.01604795,0.08507323,0.9500288
63.12963,0.08801126,1.110884,6.543676,0.2991642,-0.01376455,0.08457427,0.9503465
63.1407,0.088449,1.11127,6.543643,0.2982186,-0.01210148,0.08406673,0.9507114
63.15184,0.08887732,1.111673,6.54363,0.2972156,-0.01065422,0.08352681,0.9510903
63.16288,0.08913839,1.112149,6.54366,0.2957341,-0.009613083,0.08291318,0.9516167
63.17443,0.08940279,1.112646,6.543653,0.2941575,-0.008853805,0.08233447,0.9521629
63.18501,0.08962071,1.113169,6.543699,0.2923089,-0.008408134,0.08167,0.9527932
63.19629,0.08981073,1.113787,6.54373,0.2900055,-0.008199119,0.08103346,0.953553
63.2074,0.08977962,1.114647,6.543779,0.2873088,-0.008276104,0.08038822,0.9544229
63.21874,0.08970666,1.115563,6.543925,0.2838309,-0.008780802,0.07957727,0.9555262
63.22982,0.08958721,1.116491,6.543971,0.2797637,-0.009617646,0.07845887,0.9568093
63.24054,0.08932865,1.117864,6.544394,0.2744137,-0.01117794,0.07715067,0.9584466
