Time,PositionX,PositionY,PositionZ,OrientationX,OrientationY,OrientationZ,OrientationW
0,0.143,2.3966,5.47,0,0,0,1
0.02,0.143,1.279,5.47,0,0,0,1
0.3258652,2.116792,2.072474,5.507938,0.03923564,-0.6215464,0.02463054,-0.7820064
0.3507056,2.11678,2.072433,5.507946,0.03927204,-0.6216217,0.02460434,-0.7819456
0.357625,2.116842,2.072345,5.508017,0.03918398,-0.621615,0.02460403,-0.7819554
0.3636997,2.116849,2.072339,5.50801,0.03920441,-0.6215807,0.02464753,-0.7819803
0.413704,2.116727,2.072324,5.508046,0.03919015,-0.6215735,0.02458103,-0.7819887
0.4205328,2.116651,2.072283,5.508012,0.03919679,-0.6216215,0.02464354,-0.7819483
0.430193,2.116694,2.07229,5.508054,0.03916998,-0.6215441,0.02460698,-0.7820123
0.4415305,2.116725,2.072327,5.508084,0.03918155,-0.6214818,0.02456295,-0.7820625
0.4522298,2.116772,2.072366,5.50805,0.03914317,-0.6215394,0.02451282,-0.7820203
0.4635549,2.116753,2.072368,5.508038,0.03905843,-0.6214998,0.02458511,-0.7820538
0.4753031,2.116759,2.072344,5.50806,0.0391062,-0.6215695,0.02458395,-0.7819961
0.4856913,2.116765,2.072378,5.508061,0.0390093,-0.6215802,0.02454427,-0.7819936
0.4968257,2.116767,2.072394,5.508057,0.03899855,-0.6215125,0.02456877,-0.7820472
0.5080888,2.116777,2.072376,5.508075,0.03901539,-0.621539,0.02456312,-0.7820255
0.5188386,2.116759,2.072379,5.508066,0.03895427,-0.6215111,0.02452052,-0.782052
0.5296623,2.116783,2.072367,5.50808,0.03896461,-0.6215591,0.02455796,-0.7820121
0.5410526,2.116784,2.072419,5.508086,0.03888781,-0.6215393,0.02462921,-0.7820294
0.5521832,2.116813,2.072369,5.508116,0.03897722,-0.6215655,0.02456523,-0.7820062
0.5630442,2.11678,2.072402,5.508163,0.03894417,-0.6216146,0.02455164,-0.7819692
0.5746026,2.116766,2.072339,5.508139,0.03882299,-0.6215106,0.02460673,-0.7820562
0.5855929,2.116784,2.072366,5.508148,0.03881564,-0.6215594,0.02464591,-0.7820166
0.5968114,2.116752,2.072374,5.508147,0.03893081,-0.6215179,0.02465828,-0.7820435
0.6077899,2.11674,2.072344,5.508159,0.03890584,-0.6215169,0.02459192,-0.7820476
0.6186965,2.116777,2.07235,5.508181,0.03890345,-0.621529,0.02447409,-0.7820417
0.6299479,2.116762,2.072325,5.508212,0.03897771,-0.6215899,0.02458337,-0.7819862
0.6412963,2.116809,2.072366,5.508186,0.03893372,-0.6215527,0.02471941,-0.7820137
0.6521662,2.116867,2.072354,5.508283,0.03898571,-0.6215438,0.02452595,-0.7820243
0.6630771,2.116883,2.072349,5.508298,0.03893571,-0.6215107,0.02448049,-0.7820545
0.6746565,2.116837,2.07234,5.50828,0.03886039,-0.6215928,0.02455191,-0.7819907
0.6856414,2.116847,2.072313,5.508306,0.038829,-0.6215708,0.02455694,-0.7820097
0.6968243,2.116766,2.072226,5.508265,0.03889285,-0.6215622,0.02457075,-0.7820128
0.7079648,2.116745,2.07221,5.508259,0.03891687,-0.62159,0.02454322,-0.7819904
0.7186743,2.116769,2.072215,5.508258,0.03901908,-0.6216106,0.02449786,-0.7819704
0.7299067,2.116834,2.072216,5.508265,0.03891207,-0.6215802,0.02458233,-0.7819973
0.7411468,2.116842,2.072195,5.508272,0.03890973,-0.6215656,0.02460857,-0.7820081
0.7523094,2.116864,2.072231,5.508367,0.03898881,-0.6215606,0.02453865,-0.7820104
0.7630218,2.116844,2.072227,5.508336,0.03884766,-0.6215683,0.02443751,-0.7820144
0.7749186,2.116818,2.072247,5.508318,0.03886862,-0.6214916,0.02454048,-0.7820711
0.7853023,2.116797,2.072205,5.508321,0.03889989,-0.6214901,0.02448976,-0.7820724
0.7965463,2.116789,2.072204,5.508348,0.03892407,-0.6215869,0.02453245,-0.7819929
0.8077984,2.11673,2.072213,5.508323,0.03890251,-0.6215482,0.0245107,-0.7820253
0.8184437,2.116714,2.072206,5.508328,0.03892681,-0.6215512,0.02446879,-0.7820231
0.8305677,2.116703,2.072233,5.508296,0.03891501,-0.6215636,0.02449,-0.7820132
0.8410248,2.116689,2.072221,5.508297,0.0389379,-0.621554,0.02450057,-0.7820193
